"code_module","code_presentation","id_student","id_site","date","sum_click"
"AAA","2013J","28400","546652","-10","4"
"AAA","2013J","28400","546652","-10","1"
"AAA","2013J","28400","546652","-10","1"
"AAA","2013J","28400","546614","-10","11"
"AAA","2013J","28400","546714","-10","1"
"AAA","2013J","28400","546652","-10","8"
"AAA","2013J","28400","546876","-10","2"
"AAA","2013J","28400","546688","-10","15"
"AAA","2013J","28400","546662","-10","17"
"AAA","2013J","28400","546890","-10","1"
"AAA","2013J","28400","547011","-10","1"
"AAA","2013J","28400","547013","-10","1"
"AAA","2013J","28400","546871","-10","3"
"AAA","2013J","28400","546879","-10","4"
"AAA","2013J","30268","546652","-10","3"
"AAA","2013J","30268","546662","-10","2"
"AAA","2013J","30268","546614","-10","3"
"AAA","2013J","30268","546652","-10","2"
"AAA","2013J","31604","546672","-10","1"
"AAA","2013J","31604","547013","-10","5"
"AAA","2013J","31604","546871","-10","3"
"AAA","2013J","31604","546614","-10","11"
"AAA","2013J","31604","546660","-10","1"
"AAA","2013J","31604","546662","-10","19"
"AAA","2013J","31604","546879","-10","9"
"AAA","2013J","31604","546667","-10","4"
"AAA","2013J","31604","546688","-10","7"
"AAA","2013J","32885","546681","-10","5"
"AAA","2013J","32885","547013","-10","1"
"AAA","2013J","32885","546652","-10","1"
"AAA","2013J","32885","546614","-10","13"
"AAA","2013J","32885","546652","-10","3"
"AAA","2013J","32885","546662","-10","22"
"AAA","2013J","32885","546871","-10","1"
"AAA","2013J","32885","546660","-10","2"
